english_sentences,hinglish_sentences
Make a frown face in Kelly ' s message,Kelly ke message me ek frown face banaye
Will there be frost on the ground tomorrow ?,Kya kal aas paas frost hoga ?
Play next track,agley track ko bajao
Create school alarm,school alarm create karo
I need to find a message Dad sent in June .,mujhe June mei Dad ka ek message dhoondne ki zaroorat hai
Cancel all my alarms for Saturday .,Saturday ke liye mere sabhi alarms cancel kare
Whats the avg temp in vegas this week,Is week vegas mei avg temperature kya hai
Are there any traffic incidents headed to work today,Kya aaj work ke raste me koi traffic incidents hai
set the alarm to go off at 7 : 00 pm,sham 7 : 00 bajhe alarm band karne ke liye set kare
is there a master garden show near me,kya mere aas pas koi master garden show hai
please remind me to get lunch for tomorrow,please mujhe kal ke liye lunch lene ke liye yaad dilayen
Christmas tree lighting ceremonies in Henderson,Henderson me Christmas tree lighting ceremonies
Don ' t forget to remind me to start baking the cake at 6 am tomorrow,Don ' t forget to remind me to start baking the cake at 6 am tomorrow
Please send a text to location to my boss and let him know that I ’ m running about 10 minutes late .,Please mere boss ko text kare aur use bataye ki me lagbhag 10 minutes der se aa raha hu .
set my alarm tonight,aaj raat mera alarm set karen
Chances of rain tuesday,tuesday ko baarish padne ke kya chances hai
How is my drive home,ghar ke liye meri drive kaisi hai
what will the high temp be tomorrow ?,kal ka high temperature kya hoga ?
Put a smile reaction on the message from Helen,Helen ke message par smile reaction rakhe
Any events going on in Syracuse this weekend,Kya Syracuse me is weekend koi event ho raha he
how windy will it be this afternoon,Aaj dopahar kitni windy hone wali he
"I need to set up reminder to take my dog for walk at 12 pm , 6 pm and 8 pm","Mujhe 12 pm , 6 pm aur 8 pm ko mere dog ko walk per lejane ke liye reminder set karne ki zarurat hai"
play my favorite playlist,Meri favorite playlist bajao
you should play latin pop on pandora,Kya aap pandora par latin pop play karna chahiye
Restart my timer for cardio .,mere timer ko cardio ke liye phir se shuru kare
Remind me to put the trash can out before we leave to camp,mujhe camp se nikalne se pehle trash can baahar nikalne ke liye yaad dilaye
When is the Renaissance festival,Renaissance festival kab hai
Tell that timer to stop !,us timer ko stop kare !
Remind me one day before my haircut appointment,Muje ek din pehle mere haircut appointment ke barey me remind karaye
Deduct 5 minutes from my timer,mere timer se 5 minute deduct kare
Set alarm for one hour later than usual .,usual alarm se ek ghante pehle set kare
Please play reggaeton songs on Spotify,please Spotify par reggaeton songs play kare
miss track five,track five ko miss karo
Please turn off the music,please music ko band karo
make an alarm for 7 and 7 : 15 weekdays,7 aur 7 : 15 weekdays ke liye alarm lagaye
Is the traffic on my route from construction or an accident,kya mere raaste par traffic construction ki wajah se hai ya accident ki wajah se
"I have to get gas on the way to work tomorrow , please remind me in the morning .","mujhe kal kaam par jaane ke raaste me gas lane ki zaroorat hai , please mujhe subah yaad dilaayen ."
Is it going to be hot today ?,kya aaj hot hone wala he ?
Message Lynn and ask where softball will be held on Tuesday .,Lynn ko message karo aur pucho ke where softball will be held on Tuesday .
Turn off my alarm,mera alarm band kardo
Set an alarm to repeat on Monday ' s at 5a,Monday ke 5 baje repeat karne ke liye alarm set kare
when is the heaviest traffic for mornings in hermitage,hermitage me morning ke liye sabse zyada bhaari traffic kab he
Play Odesza ' s new album,Odesza ke naye album ko bajao
What is the weather like in Colorado this time of year,Colorado me is time par mausam kaisa hai
"Message Aswin , we are arriving next week .","Aswin ko message kare ki , we are arriving next week ."
Things to do in Utah,Utah me karne ke liye cheeze
Was there a tornado in Tulsa last week,kya pichle hafte Tulsa me tornado aaya tha
Are there any construction delays for Highway 101 to Bremerton,kya Bremerton se Highway 101 tak koi construction delays hai
What reminders are set ?,Konse reminder set he ?
Set alarm for 6 am Sat,Saturday subah 6 baje ke liye alarm set karo
"What is the weather like in Elysburg , PA ?","Elysburg , PA me mausam kaisa hai ?"
Things to do in Cincinnati tonight,Cincinnati me aaj raat karne ke liye cheeze
Message Lauren about the meeting tomorrow,Lauren ko message karo about the meeting tomorrow
whats weather like in Texas,Texas mei weather kaisa hai
How long will it take me to get to Indianapolis,Indianapolis tak pahuchne ke liye kitni der lagegi
remind me to wash clothes every wednesday and saturday aftermoon,mujhe har wednesday aur saturday ko dopahar ke baad kapde dhone ke liye yaad dilaye
Message Hannah . Did you get someone to represent you in the tribunal ?,Hannah ko message karo ki . Did you get someone to represent you in the tribunal ?
what is the average temperature in August in Tokyo,Tokyo mei August mei average temperature kya hai
how long will it take me to get from UCF to universal studios without using toll roads,UCF se universal studios tak pahunchne me mujhe toll roads ka istemaal kiye bina kitna samay lagega
Show all my reminders for the following week,agley haftey ke liye mere saarey reminders dikhaye
i don ' t want to hear the video message,mai video message nahi sunna chahta hoon
Change alarm tone to chimes,alarm tone ko chimes me badal do
Has the Book Club Group messaged me ?,Kya Book Club Group ne mujhe message kiya hai ?
resume timer in 30 minutes,30 minutes me timer ko resume kare
Pause timer .,timer pause kare
Where can I find Santa on Saturday,Saturday par mujhe Santa kaha mil sakta hoon
Set alarm for every day at 2 pm,har roz 2 pm ke liye alarm set kare
Send a message to my husband asking for his ETA,mere pati ko message karo ETA puchne ke liye
Delete the alarm at 2 : 00 am,2 00 am ko alarm ko delete karen
What is going on Sunday,Sunday ko kya chal raha hai
Set an alarm for 6 : 00 am,6 : 00 am ke liye alarm set karo
Can I please hear some Disney songs,kya mai please kuch Disney songs sun sakta hun
Thumbs down this song .,Is song ko Thumbs down dijiye
Change Weekly Meeting alarm to Thursday please .,Weekly Meeting alarm ko Thursday move kare please
What is the high temperature for this week ?,is haftey ke liye high temperature kya hai ?
create a daily alarm for for the next month,agley mahine ke liye daily alarm create kare
what is the weather ?,mausam kaisa hai ?
Remind me to pick up dry cleaning on Wednesday,Wednesday ko mujhe dry cleaning pick up krne ke liye yaad dilaayen
I need alarms at noon on Saturdays and Sundays in September,mujhe September me Saturdays aur Sundays ko dopahar ke samay alarms chahiye
I ' d like to hear pop music,Muje pop music sunna he
set timer for every 10 minutes while i run,Jab mai daud raha hoon tab har 10 minutes ke liye timer set karden
skip this song please,is song ko skip kare please
What was the forecast for yesterday,kal ke liye kya forecast tha
Increase timer after 10 min,10 min baad timer ko badane ke liye
Please create a playlist .,Please ek playlist create karo .
Resume timer,timer ko phir se shuru karo
can you please fix a timer,kya aap please timer ko fix karsakte hai
Where is the closest wine festival,sabse closest wine festival kaha hai
How many more minutes is left,kitne aur minutes baaki hai
Can you tell me the weather ?,Kya aap muje weather bata sakte he ?
what is traffic like driving to san diego from my house,mere ghar se san diego tak driving traffic kaisa hai
What ' s the weather like this weekend in New York ?,New York mei is weekend mausam kaisa hai ?
cancel the 530 reminder,530 reminder ko cancel kare
Is there a Trunk or Treat in Pleasant Hill this month,kya is mahine Pleasant Hill me a Trunk or Treat hai
Remove the reminder to send a thank you card to the nanny .,nanny ko thank you card bhejne ka reminder remove kare
What time do I need to leave Emerald Isle to get to DPAC in Durham by 7 pm ?,mujhe Emerald Isle se kitne bajhe nikal na chahiye 7 pm tak DPAC me Durham pahuchne ke liye
add another hour to my timer,mere timer me ek aur ghanta add kardo
movie premiers in january in LA 2018,2018 LA me january me movie premiers he
at 5 id like to have a timer start for 3 minutes,5 baje ek timer start karna chahta hoon for 3 minutes
I don ' t want to be late for dinner tonight - can you remind me one hour ahead instead ?,Mai aaj raat dinner ke liye late nahi hone wala hu - kya ap mujhe ek ghante pehle yaad dila sakte hai ?
Oktoberfest festivals in Omaha next month,Agle mahine Omaha me Oktoberfest festivals hai
What ' s the status of the hurricane in Miami,Miami me toofan ka status kya hai
"Send message to Kale , make travel arrangements for women groups meetup","Kale ko message bhejo , women groups meetup ke liye travel arrangements karne ke liye"
Delete all of my current alarms,mere sarey current alarms delete kare
record stopwatch time,stopwatch time record karo
message zara I would like to get tickets for the London game of Friday .,zara ko message karo ki I would like to get tickets for the London game of Friday .
Play Different Corner by George Michael,George Michael dwara Different Corner bajaye
Should I bring a coat to work today ?,kya mujhe aj work par coat lana chahiye ?
What are the messages that are unopened,unopened messages kya hai
Set up a reminder to wash the towels every month .,har mahine towels ko wash karne ke liye reminder set kare
Make my wakeup alarm for one hour later please .,Please mere wakeup alarm ko ek ghante pehle banaye
Play acoustic cover music on Spotify .,Spotify par acoustic cover music bajao .
Make an alarm to wake me at 6 am on Saturday mornings for the next four weeks .,agley chaar hafton ke liye mujhe Saturday mornings ko subah 6 baje uthane ke liye alarm banaye
stop and restart,band karo aur restart karo
Set alarm every 3 minutes for 20 minutes .,20 minutes ke liye har 3 minute mei alarm set kare
am i freezing today,Kya aaj mai freezing ho rahi hoon
will train be the best option to reach at Nina ' a house by 8 pm tonight with current slow moving traffic condition .,kya current traffic condition ke sath Nina ke ghar 8 pm tak pohochne ke liye train sabse best option hoga
"send Mariam a kiss during a mirror hour , sharp .","Mariam ko mirror hour ke doraan ek kiss bheje , sharp ."
delete the party reminder for this weekend,is weekend ke liye party reminder ko delete kare
Are there lots of people on I - 240 right now,Kya abhi I - 240 par bahut saarey people hai
Create an alarm for the 26th of December at 8 am,26th December ko subah 8 baje ke liye alarm create kare
Tell my mom we made it to Gatlinburg .,meri ma ko bolo ki we made it to Gatlinburg .
I want to hear some Indie Music,Muje thode Indie Music sun ne he
Change 20 minute timer to 40 minute,20 minute ka timer 40 minute me badle
Text I don ' t feel like going to the gym this morning,mujhe is subha gym jaane ke liye nahi lagta
Is there road work that ' s causing traffic,kya traffic me road work ki wajah se delay huwi hai
Things to do in Cleveland Ohio next Friday Night,next Friday Night Cleveland Ohio me karne ke liye cheeze
Cancel all arms in the weekdays,weekdays par sabhi arms cancel kardo
Start the timer now,timer ko abhi shuru karo
Set a reminder every Friday at 9 am,har Friday subah 9 bajhe ek reminder set kare
What is the difference in miles between Memphis and Nashville,Memphis aur Nashville ke beech me miles ka difference kya hai
Put the track on continual repeat .,track ko continual repeat par rakho .
The timer in progress needs to be canceled,progress me jo timer chal raha hai use cancel kardo
Do I need a heavy jacket,kya mujhe heavy jacket chahiye
